page,post
https://naked-science.ru/,"Американка Линдси Брайант отдыхала у побережья Нанаймо (город на острове Ванкувер в Канаде), когда заметила, что в воде происходит нечто странное."
https://naked-science.ru/,"Память в разных формах и видах свойственна всем высшим животным. Однако американские ученые выяснили, что подобие воспоминаний присуще даже простейшим микроорганизмам, таким как бактерии."
https://naked-science.ru/,"Ученые из МФТИ вместе с французскими коллегами обнаружили материал, намагниченность которого может быть надежно зафиксирована на нескольких промежуточных значениях. Это открывает дорогу к созданию энергонезависимой памяти для жестких дисков со сверхвысокой плотностью хранения информации."
https://naked-science.ru/,"Большинство людей после смерти близкого человека испытывают горе. Одни переживают его и живут дальше, другие впадают в сильнейшую депрессию и подолгу не могут вернуться к своей жизни. Ученые выяснили, что не последнюю роль в этом играет сама прощальная церемония. "
https://naked-science.ru/,"Британские археологи обнаружили в Ираке храм, где великого завоевателя почитали как бога, сына Зевса."
https://naked-science.ru/,"Бразильские астрономы открыли необычный источник излучения, который вызывает изменчивость окружающей его туманности каждые четыре года. Природу этого объекта пока невозможно объяснить. "
https://naked-science.ru/,"Стало известно, почему при взрыве гремучего золота — взрывчатого вещества — появляется эффектный пурпурный дым. Эта тайна волновала умы ученых с XVI века. "
https://naked-science.ru/,"Коллектив ученых из Сколтеха, Массачусетского технологического университета и других ведущих научных организаций России и США представил физическую модель свернутого в петли полимера. Точное аналитическое решение этой модели позволило ученым воспроизвести универсальные особенности упаковки хромосом из экспериментальных данных. Теоретическая работа позволит исследователям понять, как петлевая экструзия влияет на биофизические свойства хромосомы, и определить параметры этих петель из экспериментальных данных."
https://naked-science.ru/,"Исследователи из Высшей школы экономики и НМХЦ имени Пирогова выяснили, как меняется языковая сеть мозга при эпилепсии. С помощью теории графов ученые проанализировали данные томографии 28 пациентов и показали, что у эпилептиков при выполнении речевой функции активируются оба полушария мозга — между ними образуются короткие связи, а длинные внутри одного полушария разрываются."
https://naked-science.ru/,"Специалисты Европейского космического агенства (ESA) показали новое изображение спиральной галактики NGC 2814, которое сделала орбитальная автоматическая обсерватория «Хаббл»."
https://naked-science.ru/,"Северная Корея сообщила об успешном запуске ракеты «Чхоллима-1» с военным разведывательным спутником «Маллиген-1», который вышел на орбиту."
https://naked-science.ru/,"Американский композитор София Кастнер (Sophie Kastner) вместе с исследователями изНационального управления по аэронавтике и исследованию космического пространства США провела сонификацию (перевод данных в звук) и в итоге преобразовала составное изображение центра нашей Галактики в музыкальное произведение. Его назвали Where Parallel Lines Meet («Там, где сходятся параллельные линии»)."
